ci95_high,ci95_low,mean_diff,metric,n,n_seeds,policy_a,policy_b,std_diff,t_pvalue,t_stat,ties,wilcoxon_pvalue,wilcoxon_stat,wins_a_over_b
0.37136596593278737,0.001967367400545733,0.18666666666666654,violation_pct,15,15,reactive,predictive,0.33352375513311655,0.04791540307022268,2.1676323804986635,3,0.06298586452986712,15.5,3
0.010774754640140313,0.004820688367591871,0.007797721503866092,avg_latency,15,15,reactive,predictive,0.005375825867835471,6.342771369341138e-05,5.617824361375152,0,6.103515625e-05,0.0,0
-0.001593282615357883,-0.00477550102152691,-0.0031843918184423967,avg_energy,15,15,reactive,predictive,0.002873171248338072,0.0007442625529722383,-4.292503096625509,0,0.00115966796875,7.0,12
0.5208249450027232,-0.05215679347339228,0.2343340757646655,burst_violation_pct,15,15,reactive,predictive,0.5173355334822031,0.10122772726933991,1.754319806290047,4,0.06188375105213765,12.0,3
0.01234480431724077,0.005096704673525767,0.008720754495383268,burst_avg_latency,15,15,reactive,predictive,0.00654418674124947,0.00014451615380385143,5.161120588764586,0,0.0001220703125,1.0,1
0.20181394356699317,-0.03818415596145072,0.08181489380277122,calm_violation_pct,15,15,reactive,predictive,0.21669023027587803,0.16574094139514786,1.462307371986466,13,0.17971249487899976,0.0,0
0.008866658282003842,0.003193619053707159,0.0060301386678555,calm_avg_latency,15,15,reactive,predictive,0.005122091296385475,0.0004454733256673521,4.559588122220015,0,0.00152587890625,8.0,1
0.16772195668894946,-0.06105529002228294,0.05333333333333326,violation_pct,15,15,naive_persistence,predictive,0.2065591117977289,0.33428194339465817,0.9999999999999987,8,0.4452427442174438,9.5,2
0.005987774282203698,0.0018529401368709815,0.00392035720953734,avg_latency,15,15,naive_persistence,predictive,0.0037332719086740976,0.0011540626128407022,4.067070000565492,0,6.103515625e-05,0.0,0
-0.0010940665126649685,-0.0036246286235034736,-0.002359347568084221,avg_energy,15,15,naive_persistence,predictive,0.002284801786357558,0.00131773701519223,-3.9993464175605995,0,0.0006103515625,5.0,14
0.24079639395870073,-0.08889359765687638,0.07595139815091217,burst_violation_pct,15,15,naive_persistence,predictive,0.29767152466290575,0.33982778572843664,0.9881983185753748,8,0.39802471950693774,9.0,2
0.006818890056624673,0.0015501540498048705,0.0041845220532147715,burst_avg_latency,15,15,naive_persistence,predictive,0.004757052746766788,0.004254489528251047,3.406854009544788,1,0.0009815397525216685,0.0,0
0.0,0.0,0.0,calm_violation_pct,15,15,naive_persistence,predictive,0.0,nan,nan,15,,,0
0.004881816160987471,0.0015063040795231667,0.003194060120255319,calm_avg_latency,15,15,naive_persistence,predictive,0.0030476928428544506,0.001172456572027458,4.0589856952080305,0,0.0008544921875,6.0,1
0.1968207575967263,-0.06348742426339317,0.06666666666666655,violation_pct,15,15,arima,predictive,0.23502786055720123,0.29048209615506426,1.098588436005101,9,0.3400846081830642,6.0,2
0.0067240770134860935,0.0021019592860159935,0.0044130181497510435,avg_latency,15,15,arima,predictive,0.004173232024318639,0.001091647418504712,4.095517742818862,0,0.00018310546875,2.0,1
-0.0011784281867860931,-0.003797581622324419,-0.002488004904555256,avg_energy,15,15,arima,predictive,0.0023647893970401754,0.0011367901508029241,-4.0747821233829615,0,0.00152587890625,8.0,12
0.27849817301415547,-0.09137662516318908,0.09356077392548319,burst_violation_pct,15,15,arima,predictive,0.33395370774923056,0.2962274729951316,1.0850585301594349,9,0.17295491798842066,4.0,2
0.0075510553388601805,0.0019426906529228655,0.004746872995891523,burst_avg_latency,15,15,arima,predictive,0.00506369774450163,0.002727463446987849,3.630659053378982,1,0.0009815397525216685,0.0,0
0.0,0.0,0.0,calm_violation_pct,15,15,arima,predictive,0.0,nan,nan,15,,,0
0.0054417151755069134,0.001679289639915058,0.0035605024077109857,calm_avg_latency,15,15,arima,predictive,0.003397030465262572,0.0011716004184660028,4.059359099133126,0,0.00152587890625,8.0,1
8.053923639924863,6.479409693408475,7.266666666666668,violation_pct,15,15,threshold,predictive,1.4216020473228017,1.2346425820700057e-11,19.797157042254888,0,0.0006467491225764763,0.0,0
0.03453316053247267,0.009612380833605471,0.02207277068303907,avg_latency,15,15,threshold,predictive,0.02250055105524682,0.0019533135480656067,3.7993502048089227,0,0.0067138671875,14.0,1
0.19807233020813547,0.1755930462149859,0.18683268821156068,avg_energy,15,15,threshold,predictive,0.02029616582165953,3.833713193476181e-15,35.65204858537028,0,6.103515625e-05,0.0,0
10.385576467607768,8.258968551169149,9.322272509388458,burst_violation_pct,15,15,threshold,predictive,1.9200783673913,2.4766299367090705e-11,18.803923210031538,0,6.103515625e-05,0.0,0
0.044821065799158025,0.009978904951440014,0.02739998537529902,burst_avg_latency,15,15,threshold,predictive,0.03145839851330322,0.004547856484634117,3.3733340557684044,0,0.0067138671875,14.0,3
4.083123012945375,1.831032218835464,2.9570776158904195,calm_violation_pct,15,15,threshold,predictive,2.033374738119643,6.181488324171622e-05,5.632366796480018,0,0.00018310546875,2.0,1
0.024080751190571147,-0.00392030169460343,0.010080224747983858,calm_avg_latency,15,15,threshold,predictive,0.025281677686520215,0.14483332087290784,1.5442227790043035,0,0.15142822265625,34.0,6
