parameter,default_value,default_violation_pct,default_avg_latency,best_tested_value,best_tested_violation_pct,gap_to_best_violation_pct,is_best_tested
alpha,0.35,6.400000000000001,0.5662961061669768,0.2,6.400000000000001,0.0,False
beta,0.25,6.400000000000001,0.5662961061669768,0.15,6.400000000000001,0.0,False
phi,0.88,6.400000000000001,0.5662961061669768,0.8,6.400000000000001,0.0,False
delta,0.08,6.400000000000001,0.5662961061669768,0.04,6.333333333333333,0.0666666666666682,False
w_pair,paper default (0.75/0.55),6.400000000000001,0.5662961061669768,aggressive (0.90/0.40),6.333333333333333,0.0666666666666682,False
cost_alpha,0.55,6.400000000000001,0.5662961061669768,0.75,6.0,0.40000000000000124,False
cost_beta,0.2,6.400000000000001,0.5662961061669768,0.1,5.266666666666667,1.1333333333333346,False
cost_gamma,0.25,6.400000000000001,0.5662961061669768,0.4,5.466666666666666,0.9333333333333353,False
