ci95_high,ci95_low,mean_diff,metric,n,n_seeds,policy_a,policy_b,std_diff,t_pvalue,t_stat,ties,wilcoxon_pvalue,wilcoxon_stat,wins_a_over_b
0.37136596593278737,0.001967367400545733,0.18666666666666654,violation_pct,15,15,reactive,predictive,0.33352375513311655,0.047915403070222656,2.1676323804986635,3,0.06298586452986714,15.5,3
0.010768496239564222,0.004811989967650166,0.007790243103607194,avg_latency,15,15,reactive,predictive,0.005378028902048854,6.429790733854222e-05,5.610137534159307,0,6.103515625e-05,0.0,0
-0.0014651045086816852,-0.00450596606105135,-0.0029855352848665176,avg_energy,15,15,reactive,predictive,0.0027455425326897336,0.0008708119355194269,-4.211527703588242,0,0.00115966796875,7.0,12
0.4814411225008927,0.009976063532613821,0.24570859301675327,burst_violation_pct,15,15,reactive,predictive,0.4256778382645436,0.04218668312124454,2.2355528130232147,3,0.034170472692229406,12.0,3
0.012089868270278466,0.005271826477383206,0.008680847373830836,burst_avg_latency,15,15,reactive,predictive,0.00615589477181646,8.380535900933524e-05,5.461558157839419,0,6.103515625e-05,0.0,0
0.0,0.0,0.0,calm_violation_pct,15,15,reactive,predictive,0.0,nan,nan,15,,,0
0.007897237092879606,0.002627783229813063,0.0052625101613463345,calm_avg_latency,15,15,reactive,predictive,0.004757700887046719,0.0007567305978245373,4.283920889106857,0,0.0042724609375,12.0,1
0.16772195668894946,-0.06105529002228294,0.05333333333333326,violation_pct,15,15,naive_persistence,predictive,0.2065591117977289,0.33428194339465817,0.9999999999999987,8,0.4452427442174438,9.5,2
0.005984825168631459,0.0018409324499254255,0.003912878809278442,avg_latency,15,15,naive_persistence,predictive,0.003741450741565239,0.0011922305786259745,4.050438054871575,0,6.103515625e-05,0.0,0
-0.0008728183407814894,-0.0034481637282351946,-0.002160491034508342,avg_energy,15,15,naive_persistence,predictive,0.002325235850382744,0.0029066637824488877,-3.5985793849273002,0,0.0008544921875,6.0,14
0.21653045454623726,-0.08072317125184048,0.06790364164719839,burst_violation_pct,15,15,naive_persistence,predictive,0.26838527784629906,0.3437682226669925,0.9798960485345499,8,0.49896229860376107,10.0,2
0.006626155025908863,0.0019237385022866519,0.004274946764097757,burst_avg_latency,15,15,naive_persistence,predictive,0.004245732451043953,0.0016029124942331856,3.899632822883803,2,0.0014737808438751421,0.0,0
0.0,0.0,0.0,calm_violation_pct,15,15,naive_persistence,predictive,0.0,nan,nan,15,,,0
0.004210666040325757,0.0009342601549155829,0.00257246309762067,calm_avg_latency,15,15,naive_persistence,predictive,0.002958211532431862,0.004596838356909403,3.36794939326993,0,0.00115966796875,7.0,1
0.1968207575967263,-0.06348742426339317,0.06666666666666655,violation_pct,15,15,arima,predictive,0.23502786055720123,0.2904820961550642,1.098588436005101,9,0.3400846081830643,6.0,2
0.006720465701000704,0.0020906137979835875,0.004405539749492145,avg_latency,15,15,arima,predictive,0.0041802150807827105,0.0011214173451585903,4.081747410385172,0,0.00018310546875,2.0,1
-0.000993044859455715,-0.0035852518825030388,-0.002289148370979377,avg_energy,15,15,arima,predictive,0.002340459936351709,0.0019973038517186116,-3.7880731817272455,0,0.00152587890625,8.0,12
0.25123885447869054,-0.08284500534984493,0.08419692456442279,burst_violation_pct,15,15,arima,predictive,0.3016386740559157,0.29793609375335983,1.0810725370694434,9,0.24886387493792206,5.0,2
0.007879438879317364,0.002267352352931988,0.005073395616124676,burst_avg_latency,15,15,arima,predictive,0.00506705813137688,0.00167323066244392,3.8778273744874685,0,0.0001220703125,1.0,1
0.0,0.0,0.0,calm_violation_pct,15,15,arima,predictive,0.0,nan,nan,15,,,0
0.0031968616606526225,0.0007328448172328561,0.001964853238942739,calm_avg_latency,15,15,arima,predictive,0.0022247191884158714,0.004139856776168606,3.4205862527690885,1,0.0042856952994814864,7.0,1
8.053923639924863,6.479409693408475,7.266666666666668,violation_pct,15,15,threshold,predictive,1.4216020473228017,1.2346425820700059e-11,19.797157042254888,0,0.0006467491225764764,0.0,0
0.034522214109253595,0.009608370456306733,0.022065292282780164,avg_latency,15,15,threshold,predictive,0.022494288616541534,0.001954200310812296,3.799120345489092,0,0.0067138671875,14.0,1
0.19832230550357471,0.17574078398669846,0.18703154474513659,avg_energy,15,15,threshold,predictive,0.02038847435494662,4.0227711736752614e-15,35.52840911010174,0,6.103515625e-05,0.0,0
9.972515334446197,7.97829988769982,8.975407611073008,burst_violation_pct,15,15,threshold,predictive,1.8005434427365983,1.734498859877717e-11,19.30617355739877,0,6.103515625e-05,0.0,0
0.034387693644525874,0.002939191185130006,0.01866344241482794,burst_avg_latency,15,15,threshold,predictive,0.028394321676494617,0.023311305252151342,2.545692145037831,0,0.012451171875,17.0,3
3.220713854114291,1.0351824723699719,2.1279481632421313,calm_violation_pct,15,15,threshold,predictive,1.9732793689443637,0.0009320981099264853,4.176553977878134,2,0.0014737808438751421,0.0,0
0.045573099559885206,0.022277843408314728,0.03392547148409997,calm_avg_latency,15,15,threshold,predictive,0.021032893300978468,2.137546317099076e-05,6.247014340344764,0,6.103515625e-05,0.0,0
