traffic_model,series,forecaster,n_seeds,mae,mae_std,mse,mse_std,rmse,rmse_std,smape,smape_std,dir_acc,dir_acc_std
step,edge,holt_winters,5,0.31790177640656264,0.016602657834634667,0.17217575334213592,0.014742726986520505,0.41456072221038304,0.017752772812762,84.24391484379791,9.80400807008072,49.64829438229144,2.9450122785886874
step,edge,naive_persistence,5,0.31373447977516145,0.016110893474089213,0.16641728438199732,0.013697252107148521,0.4075932901172757,0.01688177222247879,84.35031569475682,6.536733541006554,61.28721915960106,1.6984928670704913
step,edge,simple_exp_smooth,5,0.3646078459195675,0.02652625570159562,0.22179417726123557,0.02736844169471752,0.4700610405521529,0.028927416342681065,88.1319291545204,9.145372791463362,56.903569683128545,2.511793682795766
step,edge,arima_1_1_0,5,0.31522304905122234,0.01670817968632882,0.16829700705987655,0.013954838256974498,0.4098852191950305,0.017062067439743436,86.80634460399453,7.778645294238241,51.25737690647243,3.1759001920812118
step,cloud,holt_winters,5,0.022421408212323902,0.003936312944717841,0.0030084826786172638,0.0012814298032739048,0.0537957746895502,0.010700341310837393,166.08345700714466,4.806297257928247,67.52439303258976,1.928071692856695
step,cloud,naive_persistence,5,0.02197896400946537,0.0039711393447300234,0.004062112189498866,0.0015602895465023276,0.06270829650238363,0.011392178863940299,76.0503203677026,6.889883801650856,49.83629546927125,1.8347546086518378
step,cloud,simple_exp_smooth,5,0.02073168610366192,0.0030266705067693014,0.002566766233973855,0.0009616239083188008,0.0498777828001775,0.008886676370397003,178.32614199496408,4.508487017614684,76.74215369341228,1.904575162639349
step,cloud,arima_1_1_0,5,0.02148674445723593,0.003183385809925279,0.0032662983741309284,0.0012261392955936518,0.05626548962244704,0.010024622271050086,95.10317732518254,8.023458658601777,71.01941596422857,3.6112805106743284
ramped,edge,holt_winters,5,0.29471050251633696,0.012512065125317329,0.15106202414665978,0.01091281638724871,0.388413293035827,0.014040581886965388,98.48411757853448,5.634871112016216,48.86367441148842,2.787520070849752
ramped,edge,naive_persistence,5,0.2923145380162656,0.011217123552403384,0.14773280380165082,0.008588629911551716,0.38419945435736186,0.011116792395123032,93.48013093589574,4.2715585686603355,60.64945479566156,0.5103501627359334
ramped,edge,simple_exp_smooth,5,0.330713607350027,0.017489963722318938,0.18548007486946697,0.015448000416172893,0.43031030855693786,0.017695005484596005,101.14878903344996,3.732549841708011,58.9459976274405,1.0441177394137633
ramped,edge,arima_1_1_0,5,0.2935845166949027,0.012796793615936186,0.14885045258328122,0.009466351628134492,0.3856180950180874,0.012212181537404986,99.31581775823487,4.138264911341578,52.155642904444264,2.3650164672839242
ramped,cloud,holt_winters,5,0.02342215018983085,0.004509702470158705,0.002935772303279743,0.0005272474328312532,0.053982418393604126,0.004655191473786414,167.509682446939,3.258648144414411,66.14885221273539,2.9270532930683597
ramped,cloud,naive_persistence,5,0.022358873664672766,0.003910372716519795,0.004133485374028578,0.0007375847253118839,0.0640507926120964,0.005566088374324881,67.97781514787296,8.54085107330087,50.61379704102522,1.0198137972607404
ramped,cloud,simple_exp_smooth,5,0.0221024627815703,0.004012585432862973,0.0026242917086549936,0.0005097288263647988,0.05100340855313647,0.004789992131187687,181.33929796253165,2.5867620824954236,77.33374698221648,2.4563653082664074
ramped,cloud,arima_1_1_0,5,0.02247005385608072,0.004208013933825714,0.0032561743499728416,0.0006696710038441563,0.0567938658625428,0.0055345415673149585,86.43377547657767,10.860172391218217,68.31858599087008,2.898772805013762
