policy,n_seeds,avg_latency,avg_latency_std,p95_latency,p95_latency_std,avg_energy,avg_energy_std,violation_pct,violation_pct_std,cloud_pct,cloud_pct_std,avg_edge_backlog,avg_edge_backlog_std,avg_cloud_backlog,avg_cloud_backlog_std,edge_pred_mae,edge_pred_mae_std,edge_naive_mae,edge_naive_mae_std,cloud_pred_mae,cloud_pred_mae_std,cloud_naive_mae,cloud_naive_mae_std
edge_only,3,1.3512392922222214,0.047463212337000765,3.5844962777777725,0.2223252575087769,0.27615553729166664,0.007656854343535099,41.73333333333333,2.1746008573733446,0.0,0.0,1.1954772070231972,0.054045759781810226,0.0,0.0,0.40501956708474207,0.001980852363480821,0.3246112119295708,0.0049058444810759425,0.0294682672713877,0.0014251042074917644,0.0,0.0
cloud_only,3,0.8722209010292548,0.07388255617356565,1.9593399172171517,0.8225522320393122,0.999844562030718,0.030399812068133282,23.933333333333337,4.784233364802441,100.0,0.0,0.0,0.0,0.07722130889095084,0.0024508546052944514,0.1231352596697272,0.005954899724162016,0.0,0.0,0.10297263114008959,0.001823448285299394,0.10150711436310528,0.0019771575225566683
threshold,3,0.5781627256975154,0.03897545125096278,2.4009586052009166,0.13117128311704274,0.5593209826462774,0.01992961380826183,13.6,1.3063945294843613,19.066666666666666,0.24944382578492855,0.20205366627156915,0.01684021663743744,0.03856144932352302,0.002348677050854805,0.2435197896469017,0.014846688887448712,0.1895794642395948,0.013968905244293431,0.1076097800124144,0.00407474222600858,0.06168385730289977,0.002036715170524545
reactive,3,0.5733403343933002,0.02283141292222276,1.664371273417406,0.050626288785799806,0.36805248452218353,0.004398354527934887,6.666666666666667,1.0624918300339483,29.46666666666667,1.508494466531303,0.5990225810039331,0.0578932347308585,0.011629695382154326,0.0009597850793196284,0.4135894854227271,0.00842025557803529,0.30184992715143993,0.009625868676857136,0.03173959511383508,0.0021789777465594912,0.019702381803945807,0.001697079727298349
predictive,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773,0.5862206047690143,0.04475214873457183,0.012288169278274558,0.0005054479307289879,0.4208224539587107,0.005051815403698469,0.30445540242937463,0.007401580265126081,0.03205462297950862,0.0017177343123626718,0.020660191072311145,0.0013680498882397783
